Rental ID,Customer Name,Country,Rental Start Date,Rental End Date,Car Type,Rental Source,Total Cost,Payment Status,Cancellation Status,Revenue
R96982,Donna Montoya,South Georgia and the South Sandwich Islands,2023-06-30 00:00:00,2023-07-05 00:00:00,SUV,Third-party,238.77,Pending,Not Cancelled,120.77
R46934,Emily Sanchez,Iceland,2023-08-06 00:00:00,2023-08-10 00:00:00,SUV,Third-party,356.02,Pending,Not Cancelled,211.02
R86146,Darren Boyd,Finland,2023-03-30 00:00:00,2023-04-01 00:00:00,Coupe,Online,99.12,Pending,Cancelled,0
R83674,Kathleen Vargas,United Kingdom,2023-10-08 00:00:00,2023-10-12 00:00:00,Convertible,In-Store,51.31,Pending,Cancelled,0
R19609,Kyle Black,Chad,2023-10-17 00:00:00,2023-10-23 00:00:00,Sedan,Third-party,404.67,Pending,Not Cancelled,43.67
R73928,Michelle Vasquez,Estonia,2023-03-16 00:00:00,2023-03-18 00:00:00,Coupe,Online,399.66,Pending,Not Cancelled,266.66
R99573,Chase Hancock,Seychelles,2023-09-24 00:00:00,2023-09-27 00:00:00,Hatchback,In-Store,64.96,Paid,Cancelled,0
R00230,Theresa Goodwin,Slovenia,2023-06-10 00:00:00,2023-06-16 00:00:00,SUV,In-Store,371.01,Paid,Not Cancelled,-211.99
R11460,Tammy Frazier,Serbia,2023-10-01 00:00:00,2023-10-06 00:00:00,Sedan,In-Store,115.46,Paid,Not Cancelled,-534.54
R08290,Jonathan Coleman,Seychelles,2023-01-15 00:00:00,2023-01-17 00:00:00,Convertible,In-Store,411.3,Paid,Cancelled,0
R30597,Steven Jones,Maldives,2023-09-05 00:00:00,2023-09-05 00:00:00,Sedan,In-Store,69.13,Pending,Cancelled,0
R98932,Cheryl Rodriguez,Antarctica (the territory South of 60 deg S),2023-01-22 00:00:00,2023-01-22 00:00:00,Coupe,In-Store,280.17,Paid,Cancelled,0
R83161,Michael Jarvis,Bermuda,2023-12-13 00:00:00,2023-12-15 00:00:00,SUV,In-Store,185.73,Pending,Not Cancelled,105.73
R77421,Jessica Chapman,Brazil,2023-07-17 00:00:00,2023-07-20 00:00:00,Convertible,In-Store,116.76,Pending,Cancelled,0
R26189,Joshua Swanson,Brazil,2023-07-01 00:00:00,2023-07-05 00:00:00,Hatchback,In-Store,311.87,Pending,Not Cancelled,-243.13
R12089,David Solomon,Germany,2023-05-20 00:00:00,2023-05-22 00:00:00,Sedan,In-Store,254.95,Pending,Cancelled,0
R76374,Michael Bryant,Finland,2023-06-16 00:00:00,2023-06-16 00:00:00,Sedan,Third-party,166.13,Pending,Not Cancelled,636.13
R32396,Rebecca Thompson,Congo,2023-08-19 00:00:00,2023-08-21 00:00:00,Coupe,In-Store,395.49,Pending,Not Cancelled,5.49
R28580,Erica Adams,Cape Verde,2023-01-23 00:00:00,2023-01-26 00:00:00,Hatchback,In-Store,120.09,Pending,Not Cancelled,521.09
R15558,Mrs. Judith Gregory,Croatia,2023-05-23 00:00:00,2023-05-23 00:00:00,Hatchback,In-Store,50.16,Pending,Cancelled,0
R49377,James Thomas,Mali,2023-11-17 00:00:00,2023-11-18 00:00:00,Sedan,Online,383.39,Paid,Not Cancelled,464.39
R44847,Kristie Smith,Luxembourg,2023-05-09 00:00:00,2023-05-09 00:00:00,SUV,Online,360.7,Paid,Not Cancelled,615.7
R41738,Sherry Hoover,Tajikistan,2023-09-12 00:00:00,2023-09-17 00:00:00,Coupe,Online,236.59,Pending,Not Cancelled,-258.41
R69702,Nathan Buck,Denmark,2023-03-03 00:00:00,2023-03-09 00:00:00,Convertible,Online,280.33,Paid,Cancelled,0
R48522,Brett Jones,Nicaragua,2023-10-12 00:00:00,2023-10-18 00:00:00,Coupe,In-Store,86.51,Pending,Cancelled,0
R55725,Robert Meadows,Uzbekistan,2023-04-25 00:00:00,2023-04-29 00:00:00,SUV,In-Store,442.02,Pending,Cancelled,0
R92612,Anna Hess,Vanuatu,2023-01-18 00:00:00,2023-01-20 00:00:00,Sedan,Third-party,76.96,Paid,Not Cancelled,442.96
R16779,Thomas Baker,Puerto Rico,2023-05-19 00:00:00,2023-05-20 00:00:00,Convertible,Third-party,270.94,Paid,Not Cancelled,169.94
R15787,Michelle Ross,Greenland,2023-08-04 00:00:00,2023-08-10 00:00:00,SUV,In-Store,138.85,Paid,Cancelled,0
R52349,Kathryn Bauer,Guatemala,2023-03-29 00:00:00,2023-04-03 00:00:00,Sedan,Online,426.9,Paid,Not Cancelled,918.9
R88435,Sean Michael,San Marino,2023-09-20 00:00:00,2023-09-22 00:00:00,Hatchback,Online,323.76,Paid,Not Cancelled,-32.24
R05694,Brenda Jackson,Oman,2023-05-23 00:00:00,2023-05-28 00:00:00,Sedan,Online,54.37,Pending,Cancelled,0
R14864,Michelle Johnson,Gibraltar,2023-06-07 00:00:00,2023-06-07 00:00:00,Coupe,In-Store,156.88,Paid,Not Cancelled,360.88
R29924,Shelly Gomez,Burkina Faso,2023-02-25 00:00:00,2023-03-01 00:00:00,SUV,Third-party,395.94,Pending,Cancelled,0
R81574,Jennifer Travis,New Zealand,2023-06-07 00:00:00,2023-06-08 00:00:00,Coupe,Third-party,389.21,Paid,Not Cancelled,486.21
R78154,Ashley Hoover,Wallis and Futuna,2023-03-11 00:00:00,2023-03-17 00:00:00,Coupe,In-Store,216.3,Paid,Cancelled,0
R03802,Jerry Fleming,Ghana,2023-10-07 00:00:00,2023-10-08 00:00:00,SUV,Third-party,468.95,Paid,Cancelled,0
R69192,Stacey Dixon,Estonia,2023-05-10 00:00:00,2023-05-13 00:00:00,Sedan,Online,418.49,Pending,Cancelled,0
R03750,Jeremy Torres,Belize,2023-06-11 00:00:00,2023-06-13 00:00:00,Hatchback,Online,422.64,Pending,Cancelled,0
R19661,Ryan Garcia,Montserrat,2023-11-29 00:00:00,2023-12-03 00:00:00,Sedan,Online,342.76,Pending,Cancelled,0
R38014,Arthur Herrera,Mali,2023-12-21 00:00:00,2023-12-25 00:00:00,Sedan,In-Store,219.75,Pending,Cancelled,0
R47351,Amber Fisher,American Samoa,2023-11-09 00:00:00,2023-11-14 00:00:00,Sedan,In-Store,177.7,Pending,Not Cancelled,643.7
R11261,Joshua Bass,Moldova,2023-08-12 00:00:00,2023-08-17 00:00:00,Convertible,Online,462.33,Paid,Cancelled,0
R31106,Terry Fisher,Vietnam,2023-11-04 00:00:00,2023-11-06 00:00:00,Convertible,Online,487.56,Pending,Not Cancelled,286.56
R48151,Stephanie Odom,Afghanistan,2023-06-08 00:00:00,2023-06-12 00:00:00,Convertible,Third-party,415.05,Paid,Cancelled,0
R61807,Erin Thompson,Bahrain,2023-08-07 00:00:00,2023-08-12 00:00:00,Coupe,Third-party,314.64,Paid,Cancelled,0
R26387,Sean Harris,Lao People's Democratic Republic,2023-07-03 00:00:00,2023-07-05 00:00:00,Sedan,Third-party,177.49,Pending,Cancelled,0
R30827,Brianna Petty,Timor-Leste,2023-09-06 00:00:00,2023-09-07 00:00:00,Sedan,Online,265.33,Pending,Cancelled,0
R43635,Michael Jenkins,Mayotte,2023-12-09 00:00:00,2023-12-09 00:00:00,Sedan,Online,254.52,Pending,Not Cancelled,-376.48
R58975,Deanna Douglas,Vietnam,2023-06-14 00:00:00,2023-06-16 00:00:00,Coupe,In-Store,281.93,Pending,Not Cancelled,650.93
R12293,Kevin Hopkins,Cote d'Ivoire,2023-04-17 00:00:00,2023-04-19 00:00:00,Coupe,Third-party,63.77,Paid,Cancelled,0
R35437,Joseph Mcgee,Slovakia (Slovak Republic),2023-11-21 00:00:00,2023-11-23 00:00:00,Hatchback,Online,156.38,Pending,Cancelled,0
R96979,Richard Miller,French Southern Territories,2023-11-24 00:00:00,2023-11-25 00:00:00,Hatchback,Third-party,347.42,Pending,Not Cancelled,460.42
R49315,Amber Barnes,Nigeria,2023-04-02 00:00:00,2023-04-08 00:00:00,SUV,Online,428,Pending,Not Cancelled,859
R29335,Jason Waters,Belize,2023-10-07 00:00:00,2023-10-13 00:00:00,Coupe,Online,273.76,Paid,Not Cancelled,-35.24
R21038,Steven Pena,Antarctica (the territory South of 60 deg S),2023-07-05 00:00:00,2023-07-06 00:00:00,SUV,Third-party,72.62,Paid,Not Cancelled,-202.38
R89311,Cheryl Torres,Malta,2023-01-17 00:00:00,2023-01-19 00:00:00,Convertible,In-Store,476.83,Paid,Not Cancelled,152.83
R26142,Catherine Scott,Jamaica,2023-02-11 00:00:00,2023-02-11 00:00:00,Convertible,In-Store,190.86,Paid,Not Cancelled,332.86
R08612,Nicole Smith,New Zealand,2023-10-24 00:00:00,2023-10-29 00:00:00,Convertible,Online,250.69,Paid,Not Cancelled,688.69
R05675,Oscar Fleming,Madagascar,2023-09-11 00:00:00,2023-09-12 00:00:00,Sedan,Online,176.11,Paid,Not Cancelled,491.11
R60021,Heather Greene,Kiribati,2023-03-15 00:00:00,2023-03-15 00:00:00,Sedan,Online,269.14,Pending,Cancelled,0
R33646,Adam Page,Guinea-Bissau,2023-08-14 00:00:00,2023-08-19 00:00:00,Hatchback,In-Store,439.77,Paid,Cancelled,0
R09667,Teresa Zimmerman,Jersey,2023-10-11 00:00:00,2023-10-13 00:00:00,Convertible,Third-party,416.21,Paid,Cancelled,0
R30424,Justin Howell,Nicaragua,2023-06-14 00:00:00,2023-06-18 00:00:00,Convertible,Third-party,259.07,Pending,Cancelled,0
R73976,Madeline Mata,Belize,2023-10-26 00:00:00,2023-11-01 00:00:00,Convertible,In-Store,335.35,Paid,Cancelled,0
R39522,Emily Cooper,Luxembourg,2023-06-30 00:00:00,2023-06-30 00:00:00,SUV,Online,230.19,Pending,Cancelled,0
R07226,Jerome Young,Serbia,2023-09-13 00:00:00,2023-09-17 00:00:00,Sedan,In-Store,191.6,Paid,Not Cancelled,-328.4
R76334,Kelly Martinez,Wallis and Futuna,2023-06-01 00:00:00,2023-06-04 00:00:00,SUV,In-Store,365.16,Paid,Cancelled,0
R20280,Melanie Diaz,Paraguay,2023-03-15 00:00:00,2023-03-16 00:00:00,Coupe,Third-party,461.95,Pending,Not Cancelled,506.95
R89996,Stephanie Morse,Luxembourg,2023-11-29 00:00:00,2023-12-05 00:00:00,Sedan,Online,208.21,Paid,Cancelled,0
R86468,Jennifer Wong,Puerto Rico,2023-04-27 00:00:00,2023-05-01 00:00:00,Hatchback,Online,169.78,Pending,Cancelled,0
R02417,Karen Jenkins,Estonia,2023-09-20 00:00:00,2023-09-21 00:00:00,SUV,In-Store,301.45,Pending,Not Cancelled,626.45
R30726,Leslie Brooks,San Marino,2023-09-03 00:00:00,2023-09-07 00:00:00,Convertible,Online,90.63,Paid,Cancelled,0
R90591,Mark Barron,United Kingdom,2023-08-24 00:00:00,2023-08-26 00:00:00,Convertible,Online,270.75,Paid,Cancelled,0
R43064,Katie King,Mozambique,2023-02-06 00:00:00,2023-02-11 00:00:00,SUV,In-Store,446.31,Paid,Not Cancelled,509.31
R09638,Aaron Quinn,Greece,2023-07-29 00:00:00,2023-07-31 00:00:00,SUV,Third-party,110.97,Pending,Cancelled,0
R14377,Jason Mack,Djibouti,2023-12-23 00:00:00,2023-12-24 00:00:00,Hatchback,Online,184.25,Pending,Cancelled,0
R20577,Miranda Walsh,Heard Island and McDonald Islands,2023-02-05 00:00:00,2023-02-08 00:00:00,Sedan,In-Store,125.74,Paid,Cancelled,0
R98919,Chelsea Roman,Jordan,2023-10-29 00:00:00,2023-11-03 00:00:00,Hatchback,Online,471.22,Paid,Not Cancelled,935.22
R01624,James Sullivan,Zambia,2023-08-25 00:00:00,2023-08-27 00:00:00,Hatchback,Online,258.54,Pending,Cancelled,0
R51873,Travis Wilcox,American Samoa,2023-06-13 00:00:00,2023-06-17 00:00:00,Sedan,Online,349.12,Paid,Cancelled,0
R00572,Christopher Reyes,Macedonia,2023-05-20 00:00:00,2023-05-23 00:00:00,SUV,Online,473.81,Paid,Cancelled,0
R41240,Kyle Mendoza,Saint Vincent and the Grenadines,2023-06-22 00:00:00,2023-06-25 00:00:00,Sedan,In-Store,326.95,Pending,Cancelled,0
R48669,Crystal Robertson,Benin,2023-03-17 00:00:00,2023-03-18 00:00:00,Hatchback,Online,384.04,Paid,Cancelled,0
R98947,Deborah Henderson,Grenada,2023-01-04 00:00:00,2023-01-09 00:00:00,Convertible,Online,230.9,Paid,Cancelled,0
R41421,Erin Turner,Falkland Islands (Malvinas),2023-01-11 00:00:00,2023-01-17 00:00:00,Convertible,In-Store,336.11,Pending,Not Cancelled,438.11
R83659,Stephen Rodriguez,Montserrat,2023-05-12 00:00:00,2023-05-17 00:00:00,Hatchback,Third-party,78.23,Pending,Cancelled,0
R23530,Todd Jacobson,Cote d'Ivoire,2023-02-20 00:00:00,2023-02-21 00:00:00,Hatchback,Third-party,318.51,Pending,Cancelled,0
R71259,Natasha Long,Benin,2023-11-03 00:00:00,2023-11-07 00:00:00,Coupe,Online,109.39,Paid,Not Cancelled,-499.61
R72846,Kristine Martin,Dominican Republic,2023-12-09 00:00:00,2023-12-09 00:00:00,Hatchback,Online,352.87,Paid,Cancelled,0
R13949,Patrick Thompson,Dominican Republic,2023-03-13 00:00:00,2023-03-15 00:00:00,Hatchback,Third-party,183.99,Pending,Cancelled,0
R94553,Alexandra Brooks,Liechtenstein,2023-02-27 00:00:00,2023-02-27 00:00:00,Sedan,Third-party,225.79,Paid,Not Cancelled,144.79
R24149,Geoffrey Johnson,Malawi,2023-10-12 00:00:00,2023-10-14 00:00:00,Coupe,Third-party,407.79,Paid,Not Cancelled,542.79
R27683,Richard Hickman,Lesotho,2023-10-28 00:00:00,2023-10-29 00:00:00,SUV,In-Store,111.76,Pending,Not Cancelled,223.76
R05712,Allison Wilson,Vietnam,2023-07-27 00:00:00,2023-07-28 00:00:00,Convertible,Third-party,120.04,Paid,Not Cancelled,-310.96
R71541,Cindy Lynch,Uganda,2023-01-15 00:00:00,2023-01-19 00:00:00,Coupe,In-Store,200.74,Pending,Not Cancelled,-85.26
R79452,William Payne,Armenia,2023-12-09 00:00:00,2023-12-14 00:00:00,SUV,In-Store,256.11,Paid,Not Cancelled,-375.89
R95555,Joseph Montgomery,San Marino,2023-08-17 00:00:00,2023-08-17 00:00:00,Coupe,In-Store,237.15,Pending,Cancelled,0
R78598,Lisa Cantu,Ireland,2023-06-06 00:00:00,2023-06-12 00:00:00,Sedan,Online,358.61,Paid,Cancelled,0
R42328,Anthony Johnson,Western Sahara,2023-09-13 00:00:00,2023-09-18 00:00:00,Coupe,Online,456.74,Pending,Not Cancelled,881.74
R42867,Mariah Johnson,Colombia,2023-06-30 00:00:00,2023-07-02 00:00:00,Sedan,In-Store,149.99,Paid,Cancelled,0
R17712,Denise Hamilton,Togo,2023-07-26 00:00:00,2023-07-30 00:00:00,SUV,Online,162.6,Paid,Not Cancelled,-487.4
R69295,Jeremy Duffy,Timor-Leste,2023-02-24 00:00:00,2023-02-25 00:00:00,Convertible,Third-party,373.4,Pending,Cancelled,0
R93451,Jennifer Murphy,Hong Kong,2023-08-03 00:00:00,2023-08-03 00:00:00,Sedan,Online,409.24,Pending,Not Cancelled,489.24
R49597,Edward Buckley,Aruba,2023-04-22 00:00:00,2023-04-27 00:00:00,Coupe,In-Store,304.7,Pending,Not Cancelled,-46.3
R03715,Tara Watson,Australia,2023-09-11 00:00:00,2023-09-16 00:00:00,Coupe,In-Store,341.09,Paid,Not Cancelled,795.09
R61420,Heather Rodgers,Moldova,2023-04-19 00:00:00,2023-04-19 00:00:00,Coupe,Third-party,68.29,Paid,Not Cancelled,83.29
R56001,Robert Rodriguez,United States of America,2023-03-15 00:00:00,2023-03-15 00:00:00,Hatchback,In-Store,446.39,Pending,Not Cancelled,462.39
R09157,Larry Allen,Peru,2023-05-08 00:00:00,2023-05-14 00:00:00,Convertible,Online,132.83,Paid,Cancelled,0
R84941,Cameron Davis,Latvia,2023-07-19 00:00:00,2023-07-24 00:00:00,Coupe,Online,373.93,Paid,Not Cancelled,-97.07
R16393,Diana White,Haiti,2023-04-22 00:00:00,2023-04-23 00:00:00,Convertible,In-Store,294.41,Pending,Cancelled,0
R99999,Robert Price,Albania,2024-01-02 00:00:00,2024-01-03 00:00:00,Hatchback,Third-party,213.5,Paid,Not Cancelled,448.5
R38791,Kimberly Stewart,Hungary,2023-02-10 00:00:00,2023-02-15 00:00:00,Convertible,In-Store,234.82,Paid,Cancelled,0
R66727,Elizabeth Montoya,Cuba,2023-02-02 00:00:00,2023-02-04 00:00:00,SUV,Online,387.37,Pending,Not Cancelled,379.37
R72079,Casey Lewis DDS,Gabon,2023-10-11 00:00:00,2023-10-11 00:00:00,Coupe,In-Store,370.06,Pending,Cancelled,0
R98616,Dean Wise,Macedonia,2023-10-20 00:00:00,2023-10-21 00:00:00,Convertible,Online,336.86,Paid,Not Cancelled,-268.14
R37108,Benjamin Henderson,Turkmenistan,2023-02-14 00:00:00,2023-02-18 00:00:00,Coupe,In-Store,437.87,Paid,Not Cancelled,322.87
R21686,Kelli Houston,Estonia,2023-09-04 00:00:00,2023-09-06 00:00:00,Hatchback,Third-party,347.1,Paid,Cancelled,0
R54678,Terry Summers,Armenia,2023-08-18 00:00:00,2023-08-19 00:00:00,Convertible,Third-party,144.85,Pending,Cancelled,0
R84958,Nichole Reyes,Algeria,2023-02-06 00:00:00,2023-02-09 00:00:00,Coupe,Online,493.27,Pending,Not Cancelled,365.27
R89062,Terry Mendez,Burundi,2023-06-24 00:00:00,2023-06-25 00:00:00,Coupe,Online,52.93,Pending,Not Cancelled,510.93
R87546,Christina Goodwin,Honduras,2023-06-21 00:00:00,2023-06-21 00:00:00,Hatchback,Online,401.4,Pending,Not Cancelled,-28.6
R87059,Jeffrey Rogers,South Africa,2023-12-09 00:00:00,2023-12-12 00:00:00,Coupe,In-Store,290.75,Pending,Not Cancelled,435.75
R38753,Brandon Barron,Marshall Islands,2023-08-14 00:00:00,2023-08-17 00:00:00,Coupe,In-Store,341.39,Pending,Cancelled,0
R17824,Joseph Long,South Africa,2023-12-16 00:00:00,2023-12-19 00:00:00,SUV,Online,420.15,Pending,Not Cancelled,883.15
R27373,Christine Johnston,Korea,2023-08-04 00:00:00,2023-08-05 00:00:00,Hatchback,Third-party,175.14,Pending,Not Cancelled,513.14
R51810,Francisco Ortiz,Martinique,2023-08-25 00:00:00,2023-08-29 00:00:00,SUV,In-Store,450.82,Paid,Cancelled,0
R59505,Sarah Marks,Puerto Rico,2023-12-14 00:00:00,2023-12-16 00:00:00,Hatchback,Third-party,111.87,Pending,Not Cancelled,-127.13
R31121,Brooke Fitzgerald,Namibia,2023-01-10 00:00:00,2023-01-11 00:00:00,SUV,Third-party,341.77,Paid,Not Cancelled,-118.23
R20895,Dustin Campbell,Bulgaria,2023-12-07 00:00:00,2023-12-10 00:00:00,Coupe,Online,130.64,Pending,Cancelled,0
R90690,Diana Thomas,Kuwait,2023-11-14 00:00:00,2023-11-16 00:00:00,Coupe,Third-party,382.09,Paid,Cancelled,0
R16001,Tammy Dunn,Mauritania,2023-04-02 00:00:00,2023-04-04 00:00:00,Hatchback,Online,198.99,Pending,Cancelled,0
R87986,Jennifer Stuart,Benin,2023-05-19 00:00:00,2023-05-21 00:00:00,Sedan,Third-party,414.08,Pending,Cancelled,0
R37090,Luis Schmidt,Guinea-Bissau,2023-12-14 00:00:00,2023-12-17 00:00:00,Coupe,In-Store,170.24,Paid,Not Cancelled,93.24
R00926,Christian Moore,Reunion,2023-02-08 00:00:00,2023-02-12 00:00:00,Coupe,Third-party,91.32,Pending,Not Cancelled,-428.68
R18222,Susan Kennedy,Liberia,2023-01-28 00:00:00,2023-01-29 00:00:00,Hatchback,In-Store,257,Paid,Cancelled,0
R70990,Heather Robinson,Seychelles,2023-03-22 00:00:00,2023-03-23 00:00:00,Hatchback,Third-party,413.75,Paid,Not Cancelled,-198.25
R72467,Daniel Hardy,Western Sahara,2023-06-05 00:00:00,2023-06-09 00:00:00,Sedan,In-Store,303.73,Pending,Not Cancelled,240.73
R62552,Michelle Peterson,Norway,2023-07-10 00:00:00,2023-07-16 00:00:00,Coupe,Online,226.42,Pending,Not Cancelled,355.42
R31439,Steven Jimenez,Botswana,2023-03-16 00:00:00,2023-03-17 00:00:00,Hatchback,Third-party,100.2,Pending,Not Cancelled,-84.8
R54621,Robert Cobb,Saint Kitts and Nevis,2023-12-22 00:00:00,2023-12-27 00:00:00,Hatchback,Online,499.46,Paid,Cancelled,0
R74808,Daniel Smith,Cambodia,2023-12-14 00:00:00,2023-12-20 00:00:00,Sedan,Online,284.15,Pending,Cancelled,0
R09800,Paula Bailey,Saint Barthelemy,2023-07-21 00:00:00,2023-07-21 00:00:00,Coupe,Third-party,215.05,Paid,Not Cancelled,-426.95
R69834,Rebecca Barnes,Cyprus,2023-12-20 00:00:00,2023-12-26 00:00:00,Sedan,Online,80.49,Paid,Not Cancelled,170.49
R33589,Michael Cunningham,Canada,2023-04-07 00:00:00,2023-04-09 00:00:00,SUV,Third-party,88.51,Paid,Not Cancelled,-313.49
R11710,Michelle Burke,Andorra,2023-01-30 00:00:00,2023-01-30 00:00:00,Coupe,In-Store,120,Pending,Cancelled,0
R48144,Dean Faulkner,Greece,2023-05-24 00:00:00,2023-05-25 00:00:00,Convertible,Online,387.62,Paid,Cancelled,0
R25621,Ronald Sharp,Cape Verde,2023-11-19 00:00:00,2023-11-25 00:00:00,Convertible,Third-party,296.62,Paid,Not Cancelled,306.62
R48496,Matthew Mathews,Guam,2023-02-18 00:00:00,2023-02-22 00:00:00,Coupe,Online,139.82,Paid,Not Cancelled,74.82
R63025,Michael Shepherd,Saint Helena,2023-09-17 00:00:00,2023-09-17 00:00:00,Hatchback,Online,181.97,Pending,Not Cancelled,174.97
R27177,Robert Walker,Hong Kong,2023-09-09 00:00:00,2023-09-10 00:00:00,Convertible,In-Store,447.76,Pending,Cancelled,0
R60191,Joseph Hawkins,Azerbaijan,2023-02-01 00:00:00,2023-02-04 00:00:00,Sedan,Third-party,219.19,Paid,Cancelled,0
R79466,Amanda Ramirez,Senegal,2023-02-02 00:00:00,2023-02-05 00:00:00,Coupe,Online,433.59,Pending,Cancelled,0
R55676,Heather Curtis,Bhutan,2023-02-16 00:00:00,2023-02-16 00:00:00,Sedan,In-Store,295.66,Pending,Cancelled,0
R34607,Jennifer Smith,Yemen,2023-04-09 00:00:00,2023-04-12 00:00:00,Sedan,In-Store,259.47,Pending,Not Cancelled,750.47
R17903,Jeffrey Gutierrez,Saint Kitts and Nevis,2023-09-22 00:00:00,2023-09-25 00:00:00,Sedan,Third-party,171.49,Paid,Cancelled,0
R29117,Michael Martinez,Antigua and Barbuda,2023-09-25 00:00:00,2023-09-28 00:00:00,Convertible,Online,217.33,Pending,Not Cancelled,230.33
R55399,Kevin Gray,Cook Islands,2023-03-16 00:00:00,2023-03-16 00:00:00,Convertible,In-Store,312.22,Paid,Cancelled,0
R19835,Crystal Aguilar,South Georgia and the South Sandwich Islands,2023-07-03 00:00:00,2023-07-04 00:00:00,Convertible,Online,440.73,Paid,Not Cancelled,-188.27
